userPrincipalName,displayName,surname,mail,givenName,id,userType,jobTitle,department,accountEnabled,usageLocation,streetAddress,state,country,officeLocation,city,postalCode,telephoneNumber,mobilePhone,alternateEmailAddress,ageGroup,consentProvidedForMinor,legalAgeGroupClassification,companyName,creationType,directorySynced,invitationState,lastSignInDate,identityIssuer
Distle@msredteam.onmicrosoft.com,Acevedo  Sandra,Acevedo,,Sandra,17b97733-8725-45b7-91f5-4ab3322ab201,Member,Geriatric nurse,,True,,3370 Meadowcrest Lane,,,,Grayson,,606-475-4526,,,,,,,,True,,,msredteam.onmicrosoft.com
Ciallinall@msredteam.onmicrosoft.com,Adams  Jamie,Adams,,Jamie,a0f953df-05cf-4642-8739-b0de2fbd9cc4,Member,Federal Bureau of Investigation agent,,True,,1013 Fairmont Avenue,,,,Holliday,,660-266-7934,,,,,,,,True,,,msredteam.onmicrosoft.com
Sectirepas1947@msredteam.onmicrosoft.com,Adkisson  Michael,Adkisson,,Michael,966a0b4a-f922-4f43-96f3-455e64b001a2,Member,Forest fire prevention specialist,,True,,2582 Pearl Street,,,,Folsom,,916-355-9031,,,,,,,,True,,,msredteam.onmicrosoft.com
Andled@msredteam.onmicrosoft.com,Aguiar  Justin,Aguiar,,Justin,40b94f31-b33a-4cf2-adfa-3ab6f7f303b2,Member,Medical laboratory technologist,,True,,2447 Elsie Drive,,,,Aberdeen,,605-225-1133,,,,,,,,True,,,msredteam.onmicrosoft.com
Meadeliander@msredteam.onmicrosoft.com,Aguilar  Helen,Aguilar,,Helen,cdb4a958-1348-4fbc-b3a3-f208610ff1b8,Member,Composing machine tender,,True,,1049 Green Hill Road,,,,Bentonville,,479-271-7679,,,,,,,,True,,,msredteam.onmicrosoft.com
Senou1947@msredteam.onmicrosoft.com,Albano  Mariana,Albano,,Mariana,6de9b34e-1456-4e65-9737-c5f74c225729,Member,Trader,,True,,4793 Lynn Street,,,,Cambridge,,617-226-4391,,,,,,,,True,,,msredteam.onmicrosoft.com
Wentented@msredteam.onmicrosoft.com,Alexander  Andrea,Alexander,,Andrea,efd941ff-e4a3-4d65-9726-1cbddfe019d6,Member,Recreation worker,,True,,4526 Bombardier Way,,,,Ann Arbor,,734-995-2713,,,,,,,,True,,,msredteam.onmicrosoft.com
Dethe1966@msredteam.onmicrosoft.com,Allen  Justin,Allen,,Justin,59852df6-db0f-4db6-a942-5f46635ac038,Member,Pointer,,True,,739 Oakmound Road,,,,Hickory Hills,,773-318-2733,,,,,,,,True,,,msredteam.onmicrosoft.com
Saire1943@msredteam.onmicrosoft.com,Ambriz  Wanda,Ambriz,,Wanda,8edd51b0-d75c-4f1e-afa3-e14e02887430,Member,Airport tower controller,,True,,4192 Wayback Lane,,,,Huntington Station,,631-427-1637,,,,,,,,True,,,msredteam.onmicrosoft.com
Wergeled@msredteam.onmicrosoft.com,Andersen  Jean,Andersen,,Jean,d8f363ae-8514-42bf-a31b-b9fbf0be9636,Member,Bookbinder,,True,,2896 Braxton Street,,,,Rockford,,815-489-1212,,,,,,,,True,,,msredteam.onmicrosoft.com
